Nationality,Total,Porcentaje,ISO_Code,Continent,capital_coordinates
Morocco,504,1.88,MAR,Africa,"31 32m 2.92092s S, 68 31m 23.079s W"
South Africa,333,1.24,ZAF,Africa,"33 58m 11.8391s S, 18 35m 42.256s E"
Philippines,305,1.14,PHL,Asia,"14 38m 57.5812s N, 121 4m 32.4088s E"
Algeria,282,1.05,DZA,Africa,"14 29m 9.23136s N, 121 2m 21.9833s E"
Ghana,269,1.0,GHA,Africa,"14 41m 48.3983s N, 121 3m 14.3233s E"
Pakistan,244,0.91,PAK,Asia,"14 29m 7.4094s N, 121 1m 57.6016s E"
Egypt,238,0.89,EGY,Africa,"14 28m 57.1429s N, 121 2m 4.90092s E"
New Zealand,231,0.86,NZL,Oceania,"14 28m 42.6385s N, 121 1m 53.7186s E"
Kenya,172,0.64,KEN,Africa,"14 41m 7.84212s N, 120 58m 55.2511s E"
Tunisia,142,0.53,TUN,Africa,"14 29m 13.9034s N, 121 1m 21.5515s E"
Uganda,93,0.35,UGA,Africa,"55 36m 10.0631s N, 12 35m 4.11153s E"
Mexico,91,0.34,MEX,North America,"4 33m 11.4898s N, 74 8m 8.30256s W"
Spain,82,0.31,ESP,Europe,"14 39m 6.07248s N, 121 5m 9.6126s E"
Malaysia,82,0.31,MYS,Asia,"14 28m 40.436s N, 121 1m 57.7942s E"
Jamaica,80,0.3,JAM,North America,"24 43m 46.0531s S, 65 28m 46.1579s W"
Bangladesh,76,0.28,BGD,Asia,"21 54m 4.49676s N, 92 31m 26.6434s E"
Singapore,72,0.27,SGP,Asia,"14 29m 5.99964s N, 121 1m 20.0748s E"
Netherlands,56,0.21,NLD,Europe,"14 28m 38.4982s N, 121 2m 3.60924s E"
Puerto Rico,54,0.2,PRI,North America,"4 33m 44.1644s N, 74 6m 31.5439s W"
Zimbabwe,50,0.19,ZWE,Africa,"8 59m 32.0071s N, 7 25m 32.4077s E"
Jordan,52,0.19,JOR,Asia,"14 44m 2.58972s N, 121 2m 15.526s E"
Germany,51,0.19,DEU,Europe,"14 29m 1.8654s N, 121 1m 53.0681s E"
Nepal,49,0.18,NPL,Asia,"24 50m 7.4184s S, 65 22m 48.0313s W"
Italy,49,0.18,ITA,Europe,"14 28m 31.9418s N, 121 1m 47.0266s E"
Brazil,43,0.16,BRA,South America,"14 42m 38.9477s N, 121 3m 7.72452s E"
Israel,43,0.16,ISR,Asia,"25 17m 33.1926s S, 57 36m 43.177s W"
Lebanon,38,0.14,LBN,Asia,"14 28m 43.37s N, 121 1m 56.9773s E"
Cameroon,38,0.14,CMR,Africa,"45 24m 18.1847s N, 75 41m 28.6025s W"
Indonesia,36,0.13,IDN,Asia,"27 27m 36.3582s S, 58 47m 47.337s W"
Poland,33,0.12,POL,Europe,"14 28m 57.9464s N, 121 1m 43.2426s E"
Iraq,33,0.12,IRQ,Asia,"14 28m 53.4893s N, 121 1m 52.289s E"
Dominican Republic,32,0.12,DOM,North America,"4 42m 10.6605s N, 74 2m 48.9678s W"
Zambia,29,0.11,ZMB,Africa,"14 29m 4.82208s N, 121 1m 3.68976s E"
Albania,29,0.11,ALB,Europe,"24 49m 57.3164s S, 65 22m 57.3215s W"
Turkey,30,0.11,TUR,Asia,"14 29m 15.904s N, 121 1m 20.9629s E"
Greece,30,0.11,GRC,Europe,"14 41m 39.3299s N, 121 3m 19.2028s E"
Sudan,29,0.11,SDN,Africa,"14 29m 6.46836s N, 121 1m 23.6885s E"
Romania,28,0.1,ROU,Europe,"14 29m 3.09588s N, 121 1m 36.341s E"
Malta,27,0.1,MLT,Europe,"4 44m 4.92504s N, 74 3m 1.64105s W"
Colombia,27,0.1,COL,South America,"4 6m 41.254s N, 73 29m 48.4211s W"
Sri Lanka,24,0.09,LKA,Asia,"6 35m 22.7022s N, 79 57m 53.9633s E"
Portugal,23,0.09,PRT,Europe,"4 7m 24.7246s N, 73 28m 29.1562s W"
France,23,0.09,FRA,Europe,"14 28m 51.551s N, 121 1m 49.3993s E"
Saudi Arabia,21,0.08,SAU,Asia,"14 29m 4.794s N, 121 1m 5.55456s E"
Guyana,18,0.07,GUY,South America,"27 49m 33.8599s S, 64 14m 59.5482s W"
Haiti,18,0.07,HTI,North America,"26 49m 41.5574s S, 65 10m 39.8492s W"
Botswana,19,0.07,BWA,Africa,"35 19m 35.2328s S, 149 5m 28.6256s E"
Bulgaria,19,0.07,BGR,Europe,"34 35m 28.594s S, 58 30m 9.95256s W"
Mauritius,20,0.07,MUS,Africa,"35 19m 26.3102s S, 149 5m 33.4976s E"
Yemen,20,0.07,YEM,Asia,"24 50m 24.0421s S, 65 25m 6.09384s W"
China,20,0.07,CHN,Asia,"24 49m 57.8305s S, 65 23m 0.06396s W"
Armenia,17,0.06,ARM,Asia,"4 32m 10.7052s N, 75 40m 20.5504s W"
Hungary,17,0.06,HUN,Europe,"14 28m 52.005s N, 121 1m 51.7062s E"
Lithuania,15,0.06,LTU,Europe,"54 41m 54.4438s N, 25 14m 58.3444s E"
Ukraine,17,0.06,UKR,Europe,"50 25m 11.3534s N, 30 31m 48.0094s E"
Sweden,16,0.06,SWE,Europe,"14 29m 2.81436s N, 121 1m 30.1778s E"
Georgia,15,0.06,GEO,Asia,"31 29m 37.6768s S, 64 14m 16.4864s W"
Serbia,17,0.06,SRB,Europe,"34 33m 58.9084s S, 58 25m 9.41159s W"
Ethiopia,16,0.06,ETH,Africa,"14 28m 56.5568s N, 121 2m 2.68368s E"
Belgium,13,0.05,BEL,Europe,"14 29m 4.0776s N, 121 2m 13.8199s E"
Namibia,14,0.05,NAM,Africa,"50 49m 20.6506s N, 4 26m 52.2278s E"
Cuba,14,0.05,CUB,North America,"31 31m 41.5657s S, 68 30m 52.8714s W"
El Salvador,12,0.04,SLV,North America,"26 51m 56.4275s S, 65 12m 23.6434s W"
Fiji,11,0.04,FJI,Oceania,"31 38m 16.8468s S, 60 42m 12.3696s W"
Latvia,11,0.04,LVA,Europe,"56 58m 53.8874s N, 24 6m 58.1353s E"
Bahamas,10,0.04,BHS,North America,"31 27m 17.046s S, 64 12m 12.2638s W"
Kazakhstan,12,0.04,KAZ,Asia,"51 8m 50.2418s N, 71 28m 34.8272s E"
Argentina,10,0.04,ARG,South America,"31 32m 0.1158s S, 68 32m 18.5565s W"
Azerbaijan,12,0.04,AZE,Asia,"40 24m 16.9603s N, 49 50m 38.5854s E"
Switzerland,11,0.04,CHE,Europe,"14 29m 6.21708s N, 121 1m 33.8056s E"
Sierra Leone,12,0.04,SLE,Africa,"14 29m 3.1074s N, 121 1m 28.4833s E"
Estonia,10,0.04,EST,Europe,"34 39m 43.4092s S, 58 30m 47.8217s W"
Cyprus,12,0.04,CYP,Asia,"14 28m 49.3183s N, 121 2m 20.1469s E"
Guatemala,11,0.04,GTM,North America,"31 31m 26.3172s S, 68 31m 7.19076s W"
Denmark,12,0.04,DNK,Europe,"14 28m 56.442s N, 121 2m 6.6984s E"
Ecuador,10,0.04,ECU,South America,"24 48m 29.2727s S, 65 22m 34.1562s W"
Afghanistan,12,0.04,AFG,Asia,"14 29m 9.44196s N, 121 2m 23.2123s E"
Oman,7,0.03,OMN,Asia,"24 49m 59.038s S, 65 25m 3.18216s W"
Norway,9,0.03,NOR,Europe,"14 29m 7.4094s N, 121 1m 57.6016s E"
Barbados,9,0.03,BRB,North America,"31 28m 35.8082s S, 64 14m 39.7079s W"
Peru,9,0.03,PER,South America,"34 36m 30.8794s S, 58 22m 28.2004s W"
Uzbekistan,7,0.03,UZB,Asia,"41 19m 30.1503s N, 69 17m 14.1137s E"
Costa Rica,7,0.03,CRI,North America,"4 31m 33.3736s N, 74 7m 14.0988s W"
Libya,8,0.03,LBY,Africa,"14 29m 11.9342s N, 121 1m 15.3091s E"
Honduras,7,0.03,HND,North America,"31 31m 19.7972s S, 68 31m 6.21804s W"
Japan,7,0.03,JPN,Asia,"48 24m 28.9955s N, 123 21m 57.3106s W"
Belize,5,0.02,BLZ,North America,"18 24m 21.7836s N, 88 23m 42.483s W"
Bahrain,5,0.02,BHR,Asia,"26 25m 27.5639s N, 50 28m 29.0104s E"
Rwanda,5,0.02,RWA,Africa,"2 3m 7.93188s S, 29 24m 50.7877s E"
Slovakia,5,0.02,SVK,Europe,"48 43m 29.4074s N, 21 15m 36.2783s E"
Papua New Guinea,6,0.02,PNG,Oceania,"9 24m 35.908s S, 147 10m 24.383s E"
Panama,6,0.02,PAN,North America,"14 40m 15.2832s N, 121 5m 48.138s E"
Thailand,6,0.02,THA,Asia,"14 29m 12.3277s N, 121 1m 24.7843s E"
Maldives,5,0.02,MDV,Asia,"14 29m 1.77756s N, 121 2m 40.5893s E"
Chile,5,0.02,CHL,South America,"31 31m 33.6486s S, 68 31m 2.30052s W"
Belarus,5,0.02,BLR,Europe,"9 1m 29.123s N, 7 31m 15.6716s E"
Burundi,5,0.02,BDI,Africa,"9 3m 45.0432s N, 7 27m 58.3477s E"
Mauritania,5,0.02,MRT,Africa,"24 49m 57.4853s S, 65 24m 59.0396s W"
Malawi,6,0.02,MWI,Africa,"13 56m 51.2732s S, 33 47m 23.0816s E"
Cook Islands,2,0.01,COK,Oceania,"48 55m 9.64848s N, 123 24m 22.5126s W"
Angola,3,0.01,AGO,Africa,"48 28m 45.7669s N, 123 19m 30.5134s W"
Finland,3,0.01,FIN,Europe,"14 39m 24.898s N, 121 5m 16.9336s E"
Congo,2,0.01,COG,Africa,"50 50m 32.5858s N, 4 23m 15.8801s E"
Tajikistan,2,0.01,TJK,Asia,"33 41m 46.1983s N, 73 0m 8.22384s E"
United Arab Emirates,3,0.01,ARE,Asia,"25 24m 33.1924s N, 55 26m 33.0558s E"
Uruguay,4,0.01,URY,South America,"34 36m 14.5548s S, 58 23m 13.5042s W"
Croatia,4,0.01,HRV,Europe,"50 50m 37.2311s N, 4 22m 27.5556s E"
Dominica,2,0.01,DMA,North America,"31 28m 35.9209s S, 64 14m 36.4114s W"
Tonga,2,0.01,TON,Oceania,"50 51m 16.8829s N, 4 18m 55.8522s E"
Gambia,4,0.01,GMB,Africa,"50 48m 23.1593s N, 4 23m 10.3723s E"
Benin,3,0.01,BEN,Africa,"9 2m 15.8438s N, 7 28m 57.6599s E"
Senegal,2,0.01,SEN,Africa,"14 29m 8.7468s N, 121 1m 25.5241s E"
Madagascar,4,0.01,MDG,Africa,"4 36m 33.7968s N, 74 8m 5.52912s W"
Mongolia,2,0.01,MNG,Asia,"47 55m 12.756s N, 106 54m 24.03s E"
Mozambique,3,0.01,MOZ,Africa,"50 49m 59.1647s N, 4 24m 17.0668s E"
Guam,3,0.01,GUM,Oceania,"14 28m 58.8972s N, 121 1m 51.9175s E"
Austria,4,0.01,AUT,Europe,"31 43m 37.4005s S, 60 48m 30.3988s W"
Bhutan,3,0.01,BTN,Asia,"50 49m 55.9346s N, 4 25m 3.79195s E"
Lesotho,3,0.01,LSO,Africa,"29 8m 55.1472s S, 27 44m 52.2776s E"
Kyrgyzstan,2,0.01,KGZ,Asia,"50 49m 9.11172s N, 4 22m 3.46305s E"
Nicaragua,3,0.01,NIC,North America,"24 49m 1.15356s S, 65 22m 39.4864s W"
Gabon,1,0.0,GAB,Africa,"50 48m 44.6297s N, 4 21m 13.0261s E"
Burkina Faso,1,0.0,BFA,Africa,"9 2m 5.01792s N, 7 27m 58.848s E"
Vanuatu,1,0.0,VUT,Oceania,"35 19m 4.24272s S, 149 5m 45.9852s E"
Cambodia,1,0.0,KHM,Asia,"14 28m 53.5627s N, 121 2m 13.943s E"
Bermuda,1,0.0,BMU,North America,"14 31m 3.12384s N, 121 2m 5.88372s E"
Norfolk Island,1,0.0,NFK,Oceania,"52 36m 19.9872s N, 1 43m 42.442s E"
Djibouti,1,0.0,DJI,Africa,"11 35m 41.4586s N, 43 8m 51.8046s E"
Guadeloupe,1,0.0,GLP,North America,"14 41m 49.006s N, 121 3m 11.5193s E"
Aruba,1,0.0,ABW,North America,"31 28m 50.574s S, 64 14m 39.5714s W"
Slovenia,1,0.0,SVN,Europe,"35 21m 6.85836s S, 149 6m 57.5481s E"
Gibraltar,1,0.0,GIB,Europe,"4 31m 30.5537s N, 75 42m 37.4285s W"
Luxembourg,1,0.0,LUX,Europe,"14 29m 11.9933s N, 121 1m 12.6382s E"
